@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,6,0.833333,0,0,0,no
0,0,0,0,0,0,5,no
0.333333,0,2,0.530093,0,0,9,no
0.571429,0,4,0.617965,0,0,15,no
0.666667,0,2,0.896895,0,0,22,no
1,1,1,1,0,0,29,no
1,1,1,1,0,0,32,no
1,1,1,1,0,0,25,no
0,0,0,0.333333,0,0,30,no
0,0,0,0.342857,0,0,29,no
1,1,1,0.666667,0,0,32,no
1,1,1,0.5,0,0,34,no
1,1,1,1,0,0,37,no
1,1,1,1,0,0,38,no
1,1,1,1,0,0,37,no
0.5,0,1,0.5,0,0,38,yes
0,0,0,0.333333,0,0,39,no
1,1,1,0.6,0,0,39,yes
1,1,1,0.666667,0,0,40,yes
1,1,1,1,0,0,43,no
1,1,3,0.75,0,0,2,no
1,1,2,0.916667,0,0,4,no
1,1,1,1,0,0,8,no
1,1,1,1,0,0,9,no
1,1,1,1,0,0,10,no
1,1,1,1,0,0,12,no
0,0,0,0,0,0,13,no
0,0,0,0,0,0,14,no
1,1,1,0.333333,0,0,14,no
0.333333,0,1,0.111111,0,0,14,no
1,1,4,0.618056,0,0,16,no
0.375,0,9,0.288886,0,0,3,no
0.5,0,4,0.275189,0,0,6,no
0.6,0,3,0.486667,0,0,8,no
0.5,0,3,0.546842,0,0,18,no
0.75,0,3,0.775877,0,0,32,no
0.444444,0,4,0.679794,0,0,36,no
1,1,1,1,0,0,43,no
1,1,2,0.708333,0,0,46,no
1,1,1,0.361111,0,0,49,no
1,1,1,1,0,0,67,no
0,0,0,0,0,0,73,no
1,1,1,1,0,0,78,no
0,0,0,0.571429,0,0,81,no
0,0,0,0.333333,0,0,86,no
1,1,1,1,0,0,58,no
0.5,0,1,0.333333,0,0,69,no
0.5,0,1,0.758621,0,0,45,no
0.5,0,1,0.279412,0,0,50,no
0.428571,0,3,0.243628,0,0,30,no
0.5,0,4,0.288302,0,0,46,no
0,0,0,0,0,0,55,no
1,1,1,1,0,0,78,no
1,1,1,1,0,0,88,no
1,1,2,0.5,0,0,94,no
0.5,0,1,0.25,6,3,100,no
0,0,0,0.119019,0,0,107,no
0,0,0,0,2,2,76,no
0.333333,0,1,0.626848,0,0,84,no
0.5,0,1,0.863636,0,0,92,no
1,1,1,0.678571,0,0,99,no
1,1,1,1,0,0,103,no
1,1,2,0.277003,0,0,107,no
1,1,1,0.666667,0,0,123,no
1,1,1,1,0,0,26,no
0,0,0,0,0,0,30,no
0.5,0,2,0.284298,0,0,32,no
0.666667,0,2,0.366213,0,0,42,no
0,0,0,0,4,2,46,no
0,0,0,0.269231,0,0,48,no
0,0,0,0.288136,0,0,52,no
0,0,0,0.305556,3,3,65,no
0,0,0,0.666667,0,0,50,no
1,1,2,0.713636,0,0,51,no
0.5,0,1,0.696429,0,0,58,no
1,1,1,0.727273,0,0,67,no
1,1,2,0.833333,0,0,71,no
0.25,0,1,0.534641,12,3,81,no
1,1,1,1,0,0,36,no
1,1,1,0.285714,0,0,25,no
0.428571,0,3,0.216828,0,0,29,no
0,0,0,0.283951,0,0,44,no
0,0,0,0,0,0,50,no
1,1,1,1,0,0,19,no
1,1,2,1,0,0,20,no
1,1,1,0.666667,0,0,23,no
0.5,0,1,0.833333,0,0,27,no
0.5,0,1,0.791667,0,0,32,no
1,1,2,0.677083,0,0,36,no
0.5,0,1,0.416667,0,0,5,no
0.5,0,1,0.166667,0,0,16,no
0.333333,0,1,0.348485,0,0,22,no
0,0,0,0,0,0,35,no
0,0,0,0.521739,0,0,42,no
0,0,0,0.5,0,0,43,no
0.222222,0,2,0.428764,24,2.666667,45,no
0,0,0,0.466667,3,3,49,no
1,1,1,0.692308,0,0,54,no
0.666667,0,2,0.611111,0,0,57,no
0.333333,0,1,0.623932,0,0,64,no
1,1,1,1,0,0,69,no
0,0,0,0.166667,0,0,72,no
0.5,0,3,0.357614,0,0,68,no
0,0,0,0.391304,0,0,76,no
0.333333,0,2,0.313084,0,0,85,no
1,1,1,1,0,0,89,no
0.333333,0,1,0.259259,0,0,14,no
0.75,0,3,0.628729,0,0,86,no
0.333333,0,2,0.545713,0,0,91,no
0.5,0,1,0.633621,0,0,99,no
1,1,1,0.513514,0,0,104,no
0.333333,0,1,0.192982,0,0,42,no
0.333333,0,1,0.419572,0,0,77,no
1,1,1,0.394737,0,0,88,yes
0.666667,0,2,0.611111,0,0,91,no
0,0,0,0.409091,3,3,97,yes
0.125,0,1,0.368648,35,4.375,112,yes
1,1,1,0.428571,0,0,22,no
1,1,1,1,0,0,23,no
1,1,1,1,0,0,33,no
0.25,0,1,0.609279,0,0,41,no
1,1,2,1,0,0,41,no
1,1,1,1,0,0,49,no
1,1,2,0.666667,0,0,17,no
1,1,2,1,0,0,23,no
1,1,1,0.347826,0,0,64,no
0,0,0,0.5,0,0,47,no
0,0,0,0.545455,0,0,52,no
0.142857,0,1,0.489476,0,0,82,no
1,1,2,0.8,0,0,92,no
0.5,0,1,0.5,0,0,116,no
0,0,0,0,0,0,121,no
0.25,0,1,0.417013,0,0,125,no
1,1,1,0.642857,0,0,82,no
0.166667,0,1,0.517311,20,3.333333,99,no
1,1,1,1,0,0,32,no
1,1,1,0.5,0,0,40,no
1,1,1,1,0,0,44,no
1,1,1,0.411765,0,0,54,no
1,1,1,1,0,0,57,no
0.333333,0,1,0.508658,0,0,79,no
0.5,0,2,0.412713,0,0,10,no
0.333333,0,1,0.083333,0,0,26,no
0,0,0,0,0,0,25,no
1,1,1,1,0,0,21,no
1,1,2,1,0,0,23,no
1,1,2,1,0,0,25,no
1,1,1,1,0,0,30,no
1,1,1,1,0,0,33,no
1,1,1,1,0,0,34,no
1,1,2,1,0,0,50,no
1,1,2,1,0,0,57,no
1,1,2,1,0,0,64,no
1,1,1,0.581395,0,0,70,no
0.285714,0,2,0.52757,30,4.285714,71,no
0,0,0,0.565217,5,5,73,no
0.5,0,2,0.380769,0,0,67,no
1,1,1,0.509091,0,0,73,no
0,0,0,0.493852,12,3,74,no
0.666667,0,2,0.800543,1,0.333333,37,no
0,0,0,0.703704,0,0,42,no
0,0,0,0.689655,1,1,43,no
0,0,0,0.282621,24,3,45,no
0,0,0,0.308824,6,3,44,no
0,0,0,0.522727,3,3,46,no
1,1,1,1,0,0,49,no
1,1,1,0.75,0,0,42,no
1,1,2,1,0,0,44,no
0.333333,0,1,0.587542,0,0,50,no
1,1,2,0.727273,0,0,54,no
1,1,1,0.444444,0,0,61,no
0.428571,0,3,0.246769,0,0,57,no
1,1,5,0.618315,0,0,67,no
1,1,1,0.833333,0,0,71,no
1,1,3,0.833333,0,0,27,no
1,1,1,0.5,0,0,34,no
